Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Submitter	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Type Material Display Text	CheckM contamination
GCA_000017845.1	ASM1784v1	Crocosphaera subtropica ATCC 51142	43989	OK		ATCC 51142					Annotation submitted by Washington University (WashU)	5460377	6	Complete Genome	2008-04-01		4934271	4934271	6	Washington University (WashU)	5365	5304	assembly from type material	
GCF_000017845.1	ASM1784v1	Crocosphaera subtropica ATCC 51142	43989	OK		ATCC 51142					GCF_000017845.1-RS_2024_04_15	5460377	6	Complete Genome	2008-04-01		4934271	4934271	6	Washington University (WashU)	5093	4942	assembly from type material	
GCA_000018105.1	ASM1810v1	Acaryochloris marina MBIC11017	329726	OK		MBIC11017					Annotation submitted by Washington University	8361599	10	Complete Genome	2007-10-16		6503724	6503724	10	Washington University	8571	8383	assembly from type material	4.76
GCF_000018105.1	ASM1810v1	Acaryochloris marina MBIC11017	329726	OK		MBIC11017					GCF_000018105.1-RS_2024_10_11	8361599	10	Complete Genome	2007-10-16		6503724	6503724	10	Washington University	7655	7324	assembly from type material	4.76
GCA_000195975.1	ASM19597v1	Parasynechococcus marenigrum WH 8102	84588	OK		WH 8102					Annotation submitted by DOE Joint Genome Institute	2434428	1	Complete Genome	2003-08-18		2434428	2434428	1	DOE Joint Genome Institute	2581	2517	assembly from type material	
GCF_000195975.1	ASM19597v1	Parasynechococcus marenigrum WH 8102	84588	OK		WH 8102					GCF_000195975.1-RS_2024_11_18	2434428	1	Complete Genome	2003-08-18		2434428	2434428	1	DOE Joint Genome Institute	2712	2633	assembly from type material	
GCA_032163395.1	ASM3216339v1	Gloeocapsopsis dulcis	2859516	OK		AAB1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5618434	3	Complete Genome	2023-09-28		5299722	5299722	3	Georgia Institute of Technology	5423	5175	assembly from type material	1.72
GCF_032163395.1	ASM3216339v1	Gloeocapsopsis dulcis	2859516	OK		AAB1					GCF_032163395.1-RS_2025_02_09	5618434	3	Complete Genome	2023-09-28		5299722	5299722	3	Georgia Institute of Technology	5467	5222	assembly from type material	1.72
GCA_013177315.1	ASM1317731v1	Thermoleptolyngbya sichuanensis A183	2737172	OK		A183					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5525100	1	Complete Genome	2020-05-27		5525100	5525100	1	Chengdu University	4596	4402	assembly from type material	0.54
GCF_013177315.1	ASM1317731v1	Thermoleptolyngbya sichuanensis A183	2737172	OK		A183					GCF_013177315.1-RS_2024_10_11	5525100	1	Complete Genome	2020-05-27		5525100	5525100	1	Chengdu University	4623	4478	assembly from type material	0.54
GCA_000011385.1	ASM1138v1	Gloeobacter violaceus PCC 7421	251221	OK		PCC 7421					Annotation submitted by Kazusa	4659019	1	Complete Genome	2003-10-03		4659019	4659019	1	Kazusa	4355	4348	assembly from type material	1.63
GCF_000011385.1	ASM1138v1	Gloeobacter violaceus PCC 7421	251221	OK		PCC 7421					GCF_000011385.1-RS_2024_12_11	4659019	1	Complete Genome	2003-10-03		4659019	4659019	1	Kazusa	4603	4488	assembly from type material	1.63
GCA_000317105.1	ASM31710v1	Oscillatoria acuminata PCC 6304	56110	Inconclusive		PCC 6304					Annotation submitted by JGI	7804270	3	Complete Genome	2012-12-05		7689443	7689443	3	JGI	6100	5796	assembly from type material	4.57
GCF_000317105.1	ASM31710v1	Oscillatoria acuminata PCC 6304	56110	Inconclusive		PCC 6304					GCF_000317105.1-RS_2024_06_07	7804270	3	Complete Genome	2012-12-05		7689443	7689443	3	JGI	6147	5990	assembly from type material	4.57
GCA_000317695.1	ASM31769v1	Anabaena cylindrica PCC 7122	272123	OK		PCC 7122					Annotation submitted by DOE Joint Genome Institute	7063285	7	Complete Genome	2012-12-07		6395836	6395836	7	DOE Joint Genome Institute	6258	5838	assembly from type material	0.33
GCF_000317695.1	ASM31769v1	Anabaena cylindrica PCC 7122	272123	OK		PCC 7122					GCF_000317695.1-RS_2024_04_26	7063285	7	Complete Genome	2012-12-07		6395836	6395836	7	DOE Joint Genome Institute	6183	5938	assembly from type material	0.33
GCA_000317125.1	ASM31712v1	Chroococcidiopsis thermalis PCC 7203	251229	Inconclusive		PCC 7203					Annotation submitted by JGI	6689401	3	Complete Genome	2012-12-05		6315792	6315792	3	JGI	6033	5752	assembly from type material	0.76
GCF_000317125.1	ASM31712v1	Chroococcidiopsis thermalis PCC 7203	251229	Inconclusive		PCC 7203					GCF_000317125.1-RS_2024_05_02	6689401	3	Complete Genome	2012-12-05		6315792	6315792	3	JGI	6239	6042	assembly from type material	0.76
GCA_000317575.1	ASM31757v1	Stanieria cyanosphaera PCC 7437	111780	OK		PCC 7437					Annotation submitted by JGI	5544990	6	Complete Genome	2012-12-06		5041209	5041209	6	JGI	5041	4781	assembly from type material	0.64
GCF_000317575.1	ASM31757v1	Stanieria cyanosphaera PCC 7437	111780	OK		PCC 7437					GCF_000317575.1-RS_2024_12_09	5544990	6	Complete Genome	2012-12-06		5041209	5041209	6	JGI	5046	4862	assembly from type material	0.64
GCA_000021805.1	ASM2180v1	Rippkaea orientalis PCC 8801	41431	OK		PCC 8801					Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	4787694	4	Complete Genome	2008-12-17		4679413	4679413	4	US DOE Joint Genome Institute (JGI-PGF)	4620	4367	assembly from type material	
GCF_000021805.1	ASM2180v1	Rippkaea orientalis PCC 8801	41431	OK		PCC 8801					GCF_000021805.1-RS_2024_04_02	4787694	4	Complete Genome	2008-12-17		4679413	4679413	4	US DOE Joint Genome Institute (JGI-PGF)	4548	4397	assembly from type material	
GCA_000317615.1	ASM31761v1	Dactylococcopsis salina PCC 8305	13035	OK		PCC 8305					Annotation submitted by JGI	3781008	1	Complete Genome	2012-12-07		3781008	3781008	1	JGI	3684	3337	assembly from type material	0.36
GCF_000317615.1	ASM31761v1	Dactylococcopsis salina PCC 8305	13035	OK		PCC 8305					GCF_000317615.1-RS_2024_12_13	3781008	1	Complete Genome	2012-12-07		3781008	3781008	1	JGI	3830	3721	assembly from type material	0.36
GCA_000316515.1	ASM31651v1	Cyanobium gracile PCC 6307	292564	Inconclusive		PCC 6307					Annotation submitted by JGI	3342364	1	Complete Genome	2012-12-04		3342364	3342364	1	JGI	3437	3280	assembly from type material	1.3
GCF_000316515.1	ASM31651v1	Cyanobium gracile PCC 6307	292564	Inconclusive		PCC 6307					GCF_000316515.1-RS_2024_05_02	3342364	1	Complete Genome	2012-12-04		3342364	3342364	1	JGI	3413	3319	assembly from type material	1.3
GCA_047276495.1	ASM4727649v1	Capilliphycus salinus ALCB114379	1972598	OK					ALCB114379		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7712874	1	Complete Genome	2025-01-28		7712874	7712874	1	Center for Nuclear Energy in Agriculture, University of Sao Paulo	6290	6136	assembly from type material	
GCF_047276495.1	ASM4727649v1	Capilliphycus salinus ALCB114379	1972598	OK					ALCB114379		GCF_047276495.1-RS_2025_01_28	7712874	1	Complete Genome	2025-01-29		7712874	7712874	1	Center for Nuclear Energy in Agriculture, University of Sao Paulo	6290	6136	assembly from type material	
GCA_000317475.1	ASM31747v1	Oscillatoria nigro-viridis PCC 7112	179408	Inconclusive		PCC 7112					Annotation submitted by JGI	8272254	6	Complete Genome	2012-12-06		7479014	7479014	6	JGI	7006	6360	assembly from type material	0.74
GCF_000317475.1	ASM31747v1	Oscillatoria nigro-viridis PCC 7112	179408	Inconclusive		PCC 7112					GCF_000317475.1-RS_2024_11_06	8272254	6	Complete Genome	2012-12-06		7479014	7479014	6	JGI	7064	6775	assembly from type material	0.74
GCA_000317515.1	ASM31751v1	Allocoleopsis franciscana PCC 7113	1173027	OK		PCC 7113					Annotation submitted by JGI	7966510	9	Complete Genome	2012-12-06		7470429	7470429	9	JGI	6821	6441	assembly from type material	0.41
GCF_000317515.1	ASM31751v1	Allocoleopsis franciscana PCC 7113	1173027	OK		PCC 7113					GCF_000317515.1-RS_2024_10_11	7966510	9	Complete Genome	2012-12-06		7470429	7470429	9	JGI	6804	6543	assembly from type material	0.41
GCA_020091585.1	ASM2009158v1	Kovacikia minuta CCNUW1	2653194	OK		CCNU0001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8564336	3	Complete Genome	2021-09-22		7298027	7298027	3	Central China Normal University	7982	7246	assembly from type material	3.73
GCF_020091585.1	ASM2009158v1	Kovacikia minuta CCNUW1	2653194	OK		CCNU0001					GCF_020091585.1-RS_2024_10_11	8564336	3	Complete Genome	2021-09-22		7298027	7298027	3	Central China Normal University	8277	7861	assembly from type material	3.73
GCA_029953635.1	ASM2995363v1	Halotia branconii CENA392	1539056	Inconclusive		CENA392					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7116433	2	Complete Genome	2023-05-08		6866024	6866024	2	University of Sao Paulo (USP), Center of Nuclear Energy in Agriculture (CENA)	6307	6077	assembly from type material	1.74
GCF_029953635.1	ASM2995363v1	Halotia branconii CENA392	1539056	Inconclusive		CENA392					GCF_029953635.1-RS_2024_05_07	7116433	2	Complete Genome	2023-05-08		6866024	6866024	2	University of Sao Paulo (USP), Center of Nuclear Energy in Agriculture (CENA)	6301	6095	assembly from type material	1.74
GCA_019891175.1	ASM1989117v1	Leptothermofonsia sichuanensis E412	2016068	OK		E412					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6426061	1	Complete Genome	2021-09-07		6426061	6426061	1	Chengdu University	5580	5272	assembly from type material	
GCF_019891175.1	ASM1989117v1	Leptothermofonsia sichuanensis E412	2016068	OK		E412					GCF_019891175.1-RS_2024_10_11	6426061	1	Complete Genome	2021-09-07		6426061	6426061	1	Chengdu University	5653	5422	assembly from type material	
GCA_012295525.1	ASM1229552v1	Oxynema aestuarii AP17	2064643	OK		AP17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6357750	1	Complete Genome	2020-04-15		6357750	6357750	1	Jadavpur University	5069	4801	assembly from type material	0.88
GCF_012295525.1	ASM1229552v1	Oxynema aestuarii AP17	2064643	OK		AP17					GCF_012295525.1-RS_2024_09_22	6357750	1	Complete Genome	2020-04-15		6357750	6357750	1	Jadavpur University	5164	5003	assembly from type material	0.88
GCA_000147335.1	ASM14733v1	Gloeothece verrucosa PCC 7822	497965	OK		PCC 7822					Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	7841948	7	Complete Genome	2010-09-15		6091620	6091620	7	US DOE Joint Genome Institute (JGI-PGF)	7043	6642	assembly from type material	0.53
GCF_000147335.1	ASM14733v1	Gloeothece verrucosa PCC 7822	497965	OK		PCC 7822					GCF_000147335.1-RS_2024_05_01	7841948	7	Complete Genome	2010-09-15		6091620	6091620	7	US DOE Joint Genome Institute (JGI-PGF)	7010	6834	assembly from type material	0.53
GCA_000021825.1	ASM2182v1	Gloeothece citriformis PCC 7424	65393	OK		PCC 7424					Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	6554169	7	Complete Genome	2008-12-17		5942652	5942652	7	US DOE Joint Genome Institute (JGI-PGF)	5944	5710	assembly from type material	
GCF_000021825.1	ASM2182v1	Gloeothece citriformis PCC 7424	65393	OK		PCC 7424					GCF_000021825.1-RS_2024_03_28	6554169	7	Complete Genome	2008-12-17		5942652	5942652	7	US DOE Joint Genome Institute (JGI-PGF)	5939	5774	assembly from type material	
GCA_026802175.1	ASM2680217v1	Thermocoleostomius sinensis A174	2016057	OK		A174					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5809202	1	Complete Genome	2022-12-11		5809202	5809202	1	Peking University Shenzhen Graduate School	5030	4914	assembly from type material	0.82
GCF_026802175.1	ASM2680217v1	Thermocoleostomius sinensis A174	2016057	OK		A174					GCF_026802175.1-RS_2024_10_11	5809202	1	Complete Genome	2022-12-11		5809202	5809202	1	Peking University Shenzhen Graduate School	5047	4917	assembly from type material	0.82
GCA_002075285.3	ASM207528v3	Halomicronema hongdechloris C2206	1641165	OK		C2206					Annotation submitted by Prokka	5577845	1	Complete Genome	2019-01-25		5577845	5577845	1	Macquarie University	5323	5271	assembly from type material	1.18
GCF_002075285.3	ASM207528v3	Halomicronema hongdechloris C2206	1641165	OK		C2206					GCF_002075285.3-RS_2024_10_11	5577845	1	Complete Genome	2019-01-25		5577845	5577845	1	Macquarie University	5230	4924	assembly from type material	1.18
GCA_021379005.1	ASM2137900v1	Leptodesmis sichuanensis A121	2835870	OK		A121					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5348817	1	Complete Genome	2022-01-06		5348817	5348817	1	Chengdu University	4972	4809	assembly from type material	1.09
GCF_021379005.1	ASM2137900v1	Leptodesmis sichuanensis A121	2835870	OK		A121					GCF_021379005.1-RS_2024_10_11	5348817	1	Complete Genome	2022-01-06		5348817	5348817	1	Chengdu University	4999	4835	assembly from type material	1.09
GCA_038050375.1	ASM3805037v1	Okeanomitos corallinicola TIOX110	3133117	Inconclusive		TIOX110					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5323117	2	Complete Genome	2024-04-10		5144906	5144906	2	Laboratory of Marine Biology and Ecology, Third Institute of Oceanography, MNR	4706	4555	assembly from type material	0.18
GCF_038050375.1	ASM3805037v1	Okeanomitos corallinicola TIOX110	3133117	Inconclusive		TIOX110					GCF_038050375.1-RS_2024_07_05	5323117	2	Complete Genome	2024-07-06		5144906	5144906	2	Laboratory of Marine Biology and Ecology, Third Institute of Oceanography, MNR	4723	4571	assembly from type material	0.18
GCA_021018745.1	ASM2101874v1	Gloeobacter morelensis MG652769	2781736	OK					MG652769		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5102396	3	Complete Genome	2021-12-01		4921229	4921229	3	The George Washington University	4916	4755	assembly from type material	1.9
GCF_021018745.1	ASM2101874v1	Gloeobacter morelensis MG652769	2781736	OK					MG652769		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5102396	3	Complete Genome	2021-12-01		4921229	4921229	3	The George Washington University	4940	4829	assembly from type material	1.9
GCA_023983615.1	ASM2398361v1	Phormidium yuhuli AB48	2940671	Inconclusive		AB48					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4799068	2	Complete Genome	2022-06-28		4747469	4747469	2	University of British Columbia	4156	4040	assembly from type material	0.96
GCF_023983615.1	ASM2398361v1	Phormidium yuhuli AB48	2940671	Inconclusive		AB48					GCF_023983615.1-RS_2024_09_12	4799068	2	Complete Genome	2022-06-28		4747469	4747469	2	University of British Columbia	4191	4100	assembly from type material	0.96
GCA_000484535.1	ASM48453v1	Gloeobacter kilaueensis JS1	1183438	OK		JS1					Annotation submitted by University of Hawaii at Manoa	4724791	1	Complete Genome	2013-10-28		4724791	4724791	1	University of Hawaii at Manoa	4562	4507	assembly from type material	2.72
GCF_000484535.1	ASM48453v1	Gloeobacter kilaueensis JS1	1183438	OK		JS1					GCF_000484535.1-RS_2024_03_28	4724791	1	Complete Genome	2013-10-28		4724791	4724791	1	University of Hawaii at Manoa	4526	4446	assembly from type material	2.72
GCA_026240635.1	ASM2624063v1	Trichothermofontia sichuanensis B231	2016064	OK		B231					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4436989	1	Complete Genome	2022-11-20		4436989	4436989	1	Peking University Shenzhen Graduate School	3781	3659	assembly from type material	0.82
GCF_026240635.1	ASM2624063v1	Trichothermofontia sichuanensis B231	2016064	OK		B231					GCF_026240635.1-RS_2024_10_11	4436989	1	Complete Genome	2022-11-20		4436989	4436989	1	Peking University Shenzhen Graduate School	3800	3703	assembly from type material	0.82
GCA_018389385.1	ASM1838938v1	Anthocerotibacter panamensis C109	2778476	OK		C109						4187797	1	Complete Genome	2021-05-17		4187797	4187797	1	Cornell University			assembly from type material	1.49
GCF_018389385.1	ASM1838938v1	Anthocerotibacter panamensis C109	2778476	OK		C109					GCF_018389385.1-RS_2024_10_11	4187797	1	Complete Genome	2021-05-17		4187797	4187797	1	Cornell University	4015	3901	assembly from type material	1.49
GCA_007904085.1	ASM790408v1	Euhalothece natronophila Z-M001	522448	OK		Z-M001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3524308	5	Complete Genome	2019-08-08		3326959	3326959	5	Chungnam National Univ.	3466	3257	assembly from type material	0.26
GCF_007904085.1	ASM790408v1	Euhalothece natronophila Z-M001	522448	OK		Z-M001					GCF_007904085.1-RS_2024_10_11	3524308	5	Complete Genome	2019-08-08		3326959	3326959	5	Chungnam National Univ.	3543	3424	assembly from type material	0.26
GCA_002754935.1	ASM275493v1	Parathermosynechococcus lividus PCC 6715	1917166	Inconclusive		PCC 6715					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2659739	1	Complete Genome	2017-11-06		2659739	2659739	1	Peking University Shenzhen Graduate School	2513	2262	assembly from type material	
GCF_002754935.1	ASM275493v1	Parathermosynechococcus lividus PCC 6715	1917166	Inconclusive		PCC 6715					GCF_002754935.1-RS_2024_11_19	2659739	1	Complete Genome	2017-11-06		2659739	2659739	1	Peking University Shenzhen Graduate School	2678	2429	assembly from type material	
GCA_963920485.1	KAC_108	Cyanobium usitatum str. Tous	2116684	Inconclusive		Tous			KAC_108		Annotation submitted by Sodertorn University College	2656680	1	Complete Genome	2023-12-22		2656680	2656680	1	Sodertorn University College	2905	2853	assembly from type material	3.42
GCF_963920485.1	KAC_108	Cyanobium usitatum str. Tous	2116684	Inconclusive		Tous			KAC_108		GCF_963920485.1-RS_2024_12_09	2656680	1	Complete Genome	2023-12-22		2656680	2656680	1	Sodertorn University College	2854	2774	assembly from type material	3.42
GCA_003555505.2	ASM355550v2	Thermosynechococcus sichuanensis E542	2016101	OK		E542					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2650294	1	Complete Genome	2020-07-23		2650294	2650294	1	Peking University Shenzhen Graduate School	2591	2507	assembly from type material	
GCF_003555505.1	ASM355550v2	Thermosynechococcus sichuanensis E542	2016101	OK		E542					GCF_003555505.1-RS_2024_08_03	2650294	1	Complete Genome	2020-07-23		2650294	2650294	1	Peking University Shenzhen Graduate School	2594	2517	assembly from type material	
GCA_000015665.1	ASM1566v1	Prochlorococcus marinus str. MIT 9515	167542	OK		MIT 9515					Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative	1704176	1	Complete Genome	2007-01-19		1704176	1704176	1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	1965	1906		
GCF_000015665.1	ASM1566v1	Prochlorococcus marinus str. MIT 9515	167542	OK		MIT 9515					GCF_000015665.1-RS_2024_03_28	1704176	1	Complete Genome	2007-01-19		1704176	1704176	1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	1923	1878		
GCA_000014265.1	ASM1426v1	Trichodesmium erythraeum IMS101	203124	Inconclusive		IMS101					Annotation submitted by DOE Joint Genome Institute	7750108	1	Complete Genome	2006-07-06		7750108	7750108	1	DOE Joint Genome Institute	5124	4451		
GCF_000014265.1	ASM1426v1	Trichodesmium erythraeum IMS101	203124	Inconclusive		IMS101					GCF_000014265.1-RS_2024_08_16	7750108	1	Complete Genome	2006-07-06		7750108	7750108	1	DOE Joint Genome Institute	5449	4989		
GCA_000025125.1	ASM2512v1	Candidatus Atelocyanobacterium thalassa isolate ALOHA	1453429	Inconclusive					ALOHA		Annotation submitted by University of California at Santa Cruz	1443806	1	Complete Genome	2010-01-28		1443806	1443806	1	University of California at Santa Cruz	1242	1200		
GCF_000025125.1	ASM2512v1	Candidatus Atelocyanobacterium thalassa isolate ALOHA	1453429	Inconclusive		ALOHA			ALOHA		GCF_000025125.1-RS_2024_12_02	1443806	1	Complete Genome	2010-01-28		1443806	1443806	1	University of California at Santa Cruz	1224	1153		
GCA_009856605.1	ASM985660v1	Trichormus variabilis 0441	375899	Inconclusive		0441					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7096012	5	Complete Genome	2020-01-11		6377767	6377767	5	None	5924	5708		0.11
GCF_009856605.1	ASM985660v1	Trichormus variabilis 0441	375899	Inconclusive		0441					GCF_009856605.1-RS_2024_05_21	7096012	5	Complete Genome	2020-01-11		6377767	6377767	5	None	5974	5835		0.11
GCA_002142475.1	ASM214247v1	Leptolyngbya boryana IAM M-101	411966	OK		IAM M-101					Annotation submitted by Graduate School of Bioagricultural Sciences, Nagoya University	6803468	4	Complete Genome	2015-02-14		6176364	6176364	4	Graduate School of Bioagricultural Sciences, Nagoya University	6422	6348		1.21
GCF_002142475.1	ASM214247v1	Leptolyngbya boryana IAM M-101	411966	OK		IAM M-101					GCF_002142475.1-RS_2024_10_23	6803468	4	Complete Genome	2015-02-14		6176364	6176364	4	Graduate School of Bioagricultural Sciences, Nagoya University	6445	6302		1.21
GCA_003054475.1	ASM305447v1	Nodularia spumigena UHCC 0039	1914872	Inconclusive		UHCC 0039					Annotation submitted by Universtiy of Helsinki	5386612	2	Complete Genome	2018-04-17		5294286	5294286	2	Universtiy of Helsinki	2394	2325		0.87
GCF_003054475.1	ASM305447v1	Nodularia spumigena UHCC 0039	1914872	Inconclusive		UHCC 0039					GCF_003054475.1-RS_2024_05_21	5386612	2	Complete Genome	2018-04-17		5294286	5294286	2	Universtiy of Helsinki	4725	4535		0.87
GCA_002813575.1	ASM281357v1	Nostoc flagelliforme CCNUN1	2038116	Inconclusive		CCNUN1					Annotation submitted by Central China Normal University	10231233	9	Complete Genome	2017-12-07		8363872	8363872	9	Central China Normal University	11105	10825		4.45
GCF_002813575.1	ASM281357v1	Nostoc flagelliforme CCNUN1	2038116	Inconclusive		CCNUN1					GCF_002813575.1-RS_2024_11_18	10231233	9	Complete Genome	2017-12-07		8363872	8363872	9	Central China Normal University	9773	9049		4.45
GCA_904830935.1	P. agardhii_No.976	Planktothrix agardhii	1160	OK		No.976					Annotation submitted by Justus Liebig Universitat	4904228	6	Complete Genome	2022-06-30		4748184	4748184	6	Justus Liebig Universitat	4475	4422		2.74
GCF_904830935.1	P. agardhii_No.976	Planktothrix agardhii	1160	OK		No.976					GCF_904830935.1-RS_2024_05_21	4904228	6	Complete Genome	2022-06-30		4748184	4748184	6	Justus Liebig Universitat	4485	4359		2.74
GCA_003443655.1	ASM344365v1	Nostoc sphaeroides	446679	Inconclusive		Kutzing En						6684490	5	Complete Genome	2018-09-04		6531820	6531820	5	Hubei University for Nationalities				0.81
GCF_003443655.1	ASM344365v1	Nostoc sphaeroides	446679	Inconclusive		Kutzing En					GCF_003443655.1-RS_2024_03_28	6684490	5	Complete Genome	2018-09-04		6531820	6531820	5	Hubei University for Nationalities	6086	5774		0.81
GCA_000196515.1	ASM19651v1	'Nostoc azollae' 0708	551115	Inconclusive		0708					Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	5486145	3	Complete Genome	2010-06-14		5354700	5354700	3	US DOE Joint Genome Institute (JGI-PGF)	5408	3651		0.3
GCF_000196515.1	ASM19651v1	'Nostoc azollae' 0708	551115	Inconclusive		0708					GCF_000196515.1-RS_2024_03_28	5486145	3	Complete Genome	2010-06-14		5354700	5354700	3	US DOE Joint Genome Institute (JGI-PGF)	5840	4711		0.3
GCA_000317495.1	ASM31749v1	Crinalium epipsammum PCC 9333	1173022	Inconclusive		PCC 9333					Annotation submitted by JGI	5620407	9	Complete Genome	2012-12-06		5315554	5315554	9	JGI	5059	4752		
GCF_000317495.1	ASM31749v1	Crinalium epipsammum PCC 9333	1173022	Inconclusive		PCC 9333					GCF_000317495.1-RS_2024_10_11	5620407	9	Complete Genome	2012-12-06		5315554	5315554	9	JGI	5101	4887		
GCA_012516395.1	ASM1251639v1	Dolichospermum flos-aquae CCAP 1403/13F	315271	Inconclusive		CCAP 1403/13f					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5220684	2	Complete Genome	2020-04-19		5151752	5151752	2	NEB	4948	4457		0.31
GCF_012516395.1	ASM1251639v1	Dolichospermum flos-aquae CCAP 1403/13F	315271	Inconclusive		CCAP 1403/13f					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5220684	2	Complete Genome	2020-04-19		5151752	5151752	2	NEB	4987	4734		0.31
GCA_014023275.1	ASM1402327v1	Nostoc edaphicum CCNP1411	1472755	Inconclusive		CCNP1411					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8316316	6	Complete Genome	2020-07-31		7733505	7733505	6	University of Gdansk	6956	6460		3.06
